No.,ブロックタイプ,タグ名,必要項目,記述,データタイプ,I/Oアドレス,生値,,,スケール変換値,,,,,
175,アナログ,MOP1004,〇,加熱上排ｶﾞｽ初期開度,FLOAT,FCS1:D:1238,0,～,100,0,～,100,,,
177,アナログ,KOP1002,〇,加熱上LNG切替係数,FLOAT,FCS1:D:1242,0,～,100,0,～,100,,,
178,アナログ,KOP1003G,〇,加熱上空気切替係数LNG,FLOAT,FCS1:D:1244,0,～,100,0,～,100,,,
183,アナログ,TOP1002,〇,加熱上LNGﾀｰﾝﾀﾞｳﾝ,FLOAT,FCS1:D:1254,0,～,100,0,～,100,,,
184,アナログ,TOP1003G,〇,加熱上空気ﾀｰﾝﾀﾞｳﾝLNG,FLOAT,FCS1:D:1256,0,～,100,0,～,100,,,
187,アナログ,TOP1004,〇,加熱上排ｶﾞｽﾀｰﾝﾀﾞｳﾝ,FLOAT,FCS1:D:1262,0,～,100,0,～,100,,,
192,アナログ,TDF1001,〇,加熱上ﾀｰﾝﾀﾞｳﾝ復帰,FLOAT,FCS1:D:1276,0,～,100,0,～,100,,,
193,アナログ,FPB1004,〇,加熱上PB率,FLOAT,FCS1:D:1278,0,～,100,0,～,100,,,
194,アナログ,PSET1004,〇,加熱上排ガス圧力値,DWORD,FCS1:D:1280,0,～,10000,0,～,10000,,,
195,アナログ,TFF1001H,〇,1ZFF出力,FLOAT,FCS1:D:1282,0,～,10000,0,～,10000,,,
202,アナログ,Z2U1LNG,〇,2Z空気比連続LNG,FLOAT,FCS1:D:1400,0.7,～,2,0.7,～,2,,,
203,アナログ,Z2U2LNG,〇,2Z空気比ﾘｼﾞｪﾈLNG,FLOAT,FCS1:D:1402,0.7,～,2,0.7,～,2,,,
210,アナログ,MOP2002,〇,加熱下LNG初期開度,FLOAT,FCS1:D:1430,0,～,100,0,～,100,,,
211,アナログ,MOP2003G,〇,加熱下空気初期開度LNG,FLOAT,FCS1:D:1432,0,～,100,0,～,100,,,
214,アナログ,MOP2004,〇,加熱下排ｶﾞｽ初期開度,FLOAT,FCS1:D:1438,0,～,100,0,～,100,,,
216,アナログ,KOP2002,〇,加熱下LNG切替係数,FLOAT,FCS1:D:1442,0,～,100,0,～,100,,,
217,アナログ,KOP2003G,〇,加熱下空気切替係数LNG,FLOAT,FCS1:D:1444,0,～,100,0,～,100,,,
220,アナログ,KOP2004,〇,加熱下排ｶﾞｽ切替係数,FLOAT,FCS1:D:1450,0,～,100,0,～,100,,,
222,アナログ,TOP2002,〇,加熱下LNGﾀｰﾝﾀﾞｳﾝ,FLOAT,FCS1:D:1454,0,～,100,0,～,100,,,
223,アナログ,TOP2003G,〇,加熱下空気ﾀｰﾝﾀﾞｳﾝLNG,FLOAT,FCS1:D:1456,0,～,100,0,～,100,,,
232,アナログ,FPB2004,〇,加熱下PB率,FLOAT,FCS1:D:1478,0,～,100,0,～,100,,,
